nome,cpf,data_de_nascimento,sexo
Alice Ferreira,123.456.789-00,1990-05-12,F
Bianca Souza,234.567.890-11,1987-03-25,F
Carla Nogueira,345.678.901-22,1992-11-02,F
Daniela Rocha,456.789.012-33,2000-08-17,F
Eduarda Martins,567.890.123-44,1999-12-30,F
Fernanda Oliveira,678.901.234-55,1985-07-08,F
Gabriela Santos,789.012.345-66,2003-03-25,F
Helena Lopes,890.123.456-77,1995-09-11,F
Isabela Nogueira,901.234.567-88,2000-06-19,F
Juliana Lima,012.345.678-99,1988-01-14,F
Karen Ribeiro,111.222.333-44,1994-04-09,F
Larissa Cunha,222.333.444-55,1997-10-03,F
Mariana Teixeira,333.444.555-66,2002-12-01,F
Natália Pires,444.555.666-77,1996-08-28,F
Olívia Barros,555.666.777-88,1991-06-16,F
Paula Henrique,666.777.888-99,1984-03-21,F
Queila Dias,777.888.999-00,1998-10-30,F
Rafaela Gomes,888.999.000-11,1989-05-05,F
Sabrina Moura,999.000.111-22,2001-09-13,F
Tatiane Andrade,000.111.222-33,1997-07-04,F
Ursula Silva,101.112.131-41,1993-03-29,F
Valéria Menezes,212.223.242-52,1986-10-20,F
Waleska Prado,323.334.353-63,2001-01-10,F
Ximena Cardoso,434.445.464-74,1995-06-06,F
Yasmin Tavares,545.556.575-85,1990-09-17,F
Alex Ferreira,111.222.333-00,1989-05-12,M
Bruno Lima,122.233.344-11,1985-11-23,M
Carlos Souza,133.244.355-22,2001-08-17,M
Diego Castro,144.255.366-33,1993-02-05,M
Eduardo Silva,155.266.377-44,1999-12-30,M
Fábio Oliveira,166.277.388-55,1980-07-08,M
Gabriel Santos,177.288.399-66,2003-03-25,M
Henrique Alves,188.299.400-77,1995-09-11,M
Igor Lima,199.300.411-88,2000-06-19,M
João Victor,200.311.422-99,1988-01-14,M
Kaio Ribeiro,211.322.433-00,1994-04-09,M
Lucas Fernandes,222.333.444-11,1987-10-03,M
Marcelo Teixeira,233.344.455-22,2002-12-01,M
Nicolas Pires,244.355.466-33,1996-08-28,M
Otávio Barros,255.366.477-44,1991-06-16,M
Pedro Henrique,266.377.488-55,1984-03-21,M
Quirino Dias,277.388.499-66,1998-10-30,M
Rafael Gomes,288.399.500-77,1989-05-05,M
Samuel Moura,299.400.511-88,2001-09-13,M
Thiago Andrade,300.411.522-99,1997-07-04,M
Uelton Silva,311.422.533-00,1993-03-29,M
Vitor Menezes,322.433.544-11,1986-10-20,M
Wesley Prado,333.444.555-22,2001-01-10,M
Xavier Cardoso,344.455.566-33,1995-06-06,M
Yuri Tavares,355.466.577-44,1990-09-17,M
